ctmString,ctm,open,high,low,close,vol
"May 15, 2023, 3:30:00 AM",1684114200000,169208.0,35.0,-25.0,25.0,9239.0
"May 15, 2023, 3:45:00 AM",1684115100000,169234.0,103.0,0.0,82.0,6000.0
"May 15, 2023, 4:00:00 AM",1684116000000,169318.0,8.0,-63.0,-49.0,6353.0
"May 15, 2023, 4:15:00 AM",1684116900000,169269.0,110.0,-26.0,91.0,6170.0
"May 15, 2023, 4:30:00 AM",1684117800000,169359.0,10.0,-68.0,-46.0,5756.0
"May 15, 2023, 4:45:00 AM",1684118700000,169312.0,38.0,-18.0,5.0,6824.0
"May 15, 2023, 5:00:00 AM",1684119600000,169318.0,74.0,-12.0,64.0,5881.0
"May 15, 2023, 5:15:00 AM",1684120500000,169381.0,55.0,0.0,45.0,4832.0
"May 15, 2023, 5:30:00 AM",1684121400000,169421.0,107.0,-19.0,8.0,5743.0
"May 15, 2023, 5:45:00 AM",1684122300000,169427.0,189.0,0.0,155.0,5972.0
"May 15, 2023, 6:00:00 AM",1684123200000,169582.0,109.0,-24.0,41.0,6291.0
"May 15, 2023, 6:15:00 AM",1684124100000,169624.0,16.0,-29.0,-19.0,5756.0
"May 15, 2023, 6:30:00 AM",1684125000000,169603.0,21.0,-49.0,-34.0,4744.0
"May 15, 2023, 6:45:00 AM",1684125900000,169570.0,35.0,-6.0,22.0,4372.0
"May 15, 2023, 7:00:00 AM",1684126800000,169591.0,39.0,-31.0,28.0,6851.0
"May 15, 2023, 7:15:00 AM",1684127700000,169622.0,115.0,0.0,105.0,8340.0
"May 15, 2023, 7:30:00 AM",1684128600000,169727.0,65.0,-29.0,-5.0,8067.0
"May 15, 2023, 7:45:00 AM",1684129500000,169722.0,112.0,-17.0,103.0,8959.0
"May 15, 2023, 8:00:00 AM",1684130400000,169828.0,43.0,-55.0,-6.0,4063.0
"May 15, 2023, 8:15:00 AM",1684131300000,169819.0,18.0,-194.0,-168.0,3808.0
"May 15, 2023, 8:30:00 AM",1684132200000,169653.0,80.0,-15.0,-12.0,3868.0
